Date : 2024-05-25 16:28:42
Directory : d:\CNG491ERG\EndlessRunnerGame
Total : 332 files,  937031 codes, 798 comments, 6248 blanks, all 944077 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ParkourMode\StateMachine\ParkourToBossFightState.cs                                       | C#                      |         55 |          0 |          4 |         59 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ScriptableObjects\AIBERG.ScriptableObjects.asmdef                                         | UnityAssemblyDefinition |          4 |          0 |          1 |          5 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ScriptableObjects\BossAbilitiesSO.cs                                                      | C#                      |         13 |          0 |          4 |         17 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\ScriptableObjects\FactionSO.cs                                                            | C#                      |         18 |          0 |          6 |         24 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\UI\AIBERG.UI.asmdef                                                                       | UnityAssemblyDefinition |         19 |          0 |          0 |         19 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\UI\GreetUser.cs                                                                           | C#                      |         19 |          0 |          2 |         21 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\UI\HealthUIManager.cs                                                                     | C#                      |         16 |          0 |          3 |         19 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\UI\LevelLoader.cs                                                                         | C#                      |         51 |          8 |          9 |         68 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\UI\MenuManager.cs                                                                         | C#                      |         60 |          5 |         11 |         76 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\UI\ShowUsername.cs                                                                        | C#                      |         22 |          0 |          3 |         25 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\UI\StepCounter.cs                                                                         | C#                      |         12 |          0 |          3 |         15 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\UI\TextManager.cs                                                                         | C#                      |         10 |          0 |          3 |         13 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Utilities\AIBERG.Utilities.asmdef                                                         | UnityAssemblyDefinition |          4 |          0 |          0 |          4 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Scripts\Utilities\ComponentFinder.cs                                                              | C#                      |         59 |         19 |         14 |         92 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Tests\EditModeTests\DamagingProjectileTests.cs                                                    | C#                      |         27 |          0 |          8 |         35 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Tests\EditModeTests\EditModeTests.asmdef                                                          | UnityAssemblyDefinition |         26 |          0 |          0 |         26 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Tests\PlayModeTests\BossTesting.cs                                                                | C#                      |         22 |          0 |          1 |         23 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Tests\PlayModeTests\LoginControllerTests.cs                                                       | C#                      |         49 |          0 |         20 |         69 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Tests\PlayModeTests\PlayModeTests.asmdef                                                          | UnityAssemblyDefinition |         30 |          0 |          0 |         30 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader                                               | UnityShader             |        109 |          2 |         33 |        144 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader                                                     | UnityShader             |        112 |          3 |         31 |        146 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader                                                            | UnityShader             |        109 |          2 |         33 |        144 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader                                                       | UnityShader             |        243 |          4 |         71 |        318 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader                                                           | UnityShader             |        241 |          4 |         66 |        311 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader                                                | UnityShader             |        188 |         10 |         50 |        248 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader                                                | UnityShader             |        183 |          8 |         50 |        241 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader                                                    | UnityShader             |         82 |          4 |         21 |        107 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader                                                        | UnityShader             |        183 |          8 |         50 |        241 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader                                                | UnityShader             |        103 |          8 |         28 |        139 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader                                                       | UnityShader             |        122 |          4 |         33 |        159 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_SDF.shader                                                               | UnityShader             |        243 |          4 |         71 |        318 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader                                                            | UnityShader             |         97 |          0 |         20 |        117 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMPro.cginc                                                                  | UnityShader             |         63 |          2 |         20 |         85 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc                                                           | UnityShader             |        122 |          2 |         34 |        158 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc                                                       | UnityShader             |         62 |         10 |         14 |         86 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc                                                          | UnityShader             |         76 |          7 |         19 |        102 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\TextMesh Pro\Sprites\EmojiOne.json                                                                | JSON                    |        155 |          0 |          2 |        157 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\TimeUI.cs                                                                                         | C#                      |         26 |          2 |          4 |         32 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Training\Boss.yaml                                                                                | YAML                    |         26 |          0 |          0 |         26 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Training\default.yaml                                                                             | YAML                    |         25 |          0 |          1 |         26 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Training\results\ppo\Boss\Boss-499960.pt                                                          | XML                     |     15,032 |          0 |         63 |     15,095 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Training\results\ppo\Boss\Boss-750094.pt                                                          | XML                     |     14,957 |          0 |         64 |     15,021 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Training\results\ppo\Boss\checkpoint.pt                                                           | XML                     |     14,958 |          0 |         64 |     15,022 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Training\results\ppo\configuration.yaml                                                           | YAML                    |         78 |          0 |          1 |         79 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Training\results\ppo\run_logs\timers.json                                                         | JSON                    |        335 |          0 |          0 |        335 |
| d:\CNG491ERG\EndlessRunnerGame\Assets\Training\results\ppo\run_logs\training_status.json                                                | JSON                    |         38 |          0 |          0 |         38 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\EndlessRunnerGame-opencov\EditMode\TestCoverageResults_0000.xml                             | XML                     |      3,431 |          0 |          0 |      3,431 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\EndlessRunnerGame-opencov\EditMode\TestCoverageResults_0001.xml                             | XML                     |        121 |          0 |          0 |        121 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\EndlessRunnerGame-opencov\PlayMode\TestCoverageResults_0000.xml                             | XML                     |      3,679 |          0 |          0 |      3,679 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\EndlessRunnerGame-opencov\PlayMode\TestCoverageResults_0001.xml                             | XML                     |      1,845 |          0 |          0 |      1,845 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\EndlessRunnerGame-opencov\Recording\RecordingCoverageResults_0000.xml                       | XML                     |      3,428 |          0 |          0 |      3,428 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\EndlessRunnerGame-opencov\Recording\RecordingCoverageResults_0001.xml                       | XML                     |        152 |          0 |          0 |        152 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-08_11-48-48_CoverageHistory.xml                                      | XML                     |         43 |          0 |          0 |         43 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_14-33-31_CoverageHistory.xml                                      | XML                     |         13 |          0 |          0 |         13 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_14-33-49_CoverageHistory.xml                                      | XML                     |         13 |          0 |          0 |         13 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_14-35-45_CoverageHistory.xml                                      | XML                     |         13 |          0 |          0 |         13 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_14-36-38_CoverageHistory.xml                                      | XML                     |         13 |          0 |          0 |         13 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_14-39-19_CoverageHistory.xml                                      | XML                     |         13 |          0 |          0 |         13 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_14-42-20_CoverageHistory.xml                                      | XML                     |          2 |          0 |          0 |          2 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_14-42-37_CoverageHistory.xml                                      | XML                     |         13 |          0 |          0 |         13 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_14-42-56_CoverageHistory.xml                                      | XML                     |         38 |          0 |          0 |         38 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_14-42-58_CoverageHistory.xml                                      | XML                     |         38 |          0 |          0 |         38 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_14-44-01_CoverageHistory.xml                                      | XML                     |         41 |          0 |          0 |         41 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_14-44-04_CoverageHistory.xml                                      | XML                     |         41 |          0 |          0 |         41 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_14-44-56_CoverageHistory.xml                                      | XML                     |         41 |          0 |          0 |         41 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_14-45-11_CoverageHistory.xml                                      | XML                     |         41 |          0 |          0 |         41 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_14-45-14_CoverageHistory.xml                                      | XML                     |         41 |          0 |          0 |         41 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_14-51-48_CoverageHistory.xml                                      | XML                     |         38 |          0 |          0 |         38 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_14-51-53_CoverageHistory.xml                                      | XML                     |         38 |          0 |          0 |         38 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_18-06-31_CoverageHistory.xml                                      | XML                     |         38 |          0 |          0 |         38 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_18-33-06_CoverageHistory.xml                                      | XML                     |         38 |          0 |          0 |         38 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_18-34-37_CoverageHistory.xml                                      | XML                     |         38 |          0 |          0 |         38 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_18-40-19_CoverageHistory.xml                                      | XML                     |         38 |          0 |          0 |         38 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_18-41-12_CoverageHistory.xml                                      | XML                     |         38 |          0 |          0 |         38 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_18-42-03_CoverageHistory.xml                                      | XML                     |         38 |          0 |          0 |         38 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_18-44-26_CoverageHistory.xml                                      | XML                     |         38 |          0 |          0 |         38 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-09_18-48-54_CoverageHistory.xml                                      | XML                     |         38 |          0 |          0 |         38 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-12_07-07-16_CoverageHistory.xml                                      | XML                     |         38 |          0 |          0 |         38 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-12_07-07-27_CoverageHistory.xml                                      | XML                     |         38 |          0 |          0 |         38 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-12_07-10-50_CoverageHistory.xml                                      | XML                     |         38 |          0 |          0 |         38 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-12_07-12-10_CoverageHistory.xml                                      | XML                     |         38 |          0 |          0 |         38 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-12_07-13-00_CoverageHistory.xml                                      | XML                     |         38 |          0 |          0 |         38 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-12_07-13-30_CoverageHistory.xml                                      | XML                     |         43 |          0 |          0 |         43 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report-history\2024-04-12_07-17-41_CoverageHistory.xml                                      | XML                     |         43 |          0 |          0 |         43 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.API_InputRecorder.html                                                        | HTML                    |        174 |          0 |          8 |        182 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.API_LoginController.html                                                      | HTML                    |        168 |          0 |          8 |        176 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.API_RegisterController.html                                                   | HTML                    |        167 |          0 |          8 |        175 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.BossAbilities_AttackDrone.html                                                | HTML                    |        210 |          0 |          8 |        218 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.BossAbilities_BasicAttack.html                                                | HTML                    |        182 |          0 |          8 |        190 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.BossAbilities_MoveDown.html                                                   | HTML                    |        158 |          0 |          8 |        166 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.BossAbilities_MoveUp.html                                                     | HTML                    |        158 |          0 |          8 |        166 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.BossAbilities_SpawnAttackDrones.html                                          | HTML                    |        236 |          0 |          8 |        244 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.Core_Boss.html                                                                | HTML                    |        217 |          0 |          8 |        225 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.Core_BossAgent.html                                                           | HTML                    |        201 |          0 |          8 |        209 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.Core_DamagingProjectile.html                                                  | HTML                    |        147 |          0 |          8 |        155 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.Core_Despawner.html                                                           | HTML                    |        122 |          0 |          8 |        130 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.Core_GameEnvironment.html                                                     | HTML                    |        208 |          0 |          8 |        216 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.Core_InputHandler.html                                                        | HTML                    |        121 |          0 |          8 |        129 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.Core_Player.html                                                              | HTML                    |        212 |          0 |          8 |        220 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.Core_PlayerAgent.html                                                         | HTML                    |        213 |          0 |          8 |        221 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.Core_PlayerAutoInputHandler.html                                              | HTML                    |        386 |          0 |          8 |        394 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.Core_PlayerInputHandler.html                                                  | HTML                    |        109 |          0 |          8 |        117 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.Core_RandomInputHandler.html                                                  | HTML                    |        109 |          0 |          8 |        117 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.Core_StoopidInputHandler.html                                                 | HTML                    |        137 |          0 |          8 |        145 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.Factions.TheOrderOfTheFlesh_AssaultRifle.html                                 | HTML                    |        193 |          0 |          8 |        201 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.Factions.TheOrderOfTheFlesh_Jump.html                                         | HTML                    |        152 |          0 |          8 |        160 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.Factions.TheOrderOfTheFlesh_LastResort.html                                   | HTML                    |        204 |          0 |          8 |        212 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.Factions.TheOrderOfTheFlesh_MachineGun.html                                   | HTML                    |        202 |          0 |          8 |        210 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.UI_HealthUIManager.html                                                       | HTML                    |        117 |          0 |          8 |        125 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.UI_MenuManager.html                                                           | HTML                    |        114 |          0 |          8 |        122 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.UI_StepCounter.html                                                           | HTML                    |        111 |          0 |          8 |        119 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\AIBERG.Utilities_ComponentFinder.html                                                | HTML                    |        197 |          0 |          8 |        205 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\Summary.json                                                                         | JSON                    |         56 |          0 |          0 |         56 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\Summary.md                                                                           | Markdown                |         54 |          0 |          2 |         56 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\Summary.xml                                                                          | XML                     |         62 |          0 |          0 |         62 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\badge_branchcoverage.svg                                                             | XML                     |         78 |          0 |         10 |         88 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\badge_combined.svg                                                                   | XML                     |         81 |          0 |          7 |         88 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\badge_linecoverage.svg                                                               | XML                     |         78 |          0 |         10 |         88 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\badge_shieldsio_branchcoverage_blue.svg                                              | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\badge_shieldsio_branchcoverage_brightgreen.svg                                       | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\badge_shieldsio_branchcoverage_green.svg                                             | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\badge_shieldsio_branchcoverage_lightgrey.svg                                         | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\badge_shieldsio_branchcoverage_orange.svg                                            | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\badge_shieldsio_branchcoverage_red.svg                                               | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\badge_shieldsio_branchcoverage_yellow.svg                                            | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\badge_shieldsio_branchcoverage_yellowgreen.svg                                       | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\badge_shieldsio_linecoverage_blue.svg                                                | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\badge_shieldsio_linecoverage_brightgreen.svg                                         | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\badge_shieldsio_linecoverage_green.svg                                               | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\badge_shieldsio_linecoverage_lightgrey.svg                                           | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\badge_shieldsio_linecoverage_orange.svg                                              | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\badge_shieldsio_linecoverage_red.svg                                                 | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\badge_shieldsio_linecoverage_yellow.svg                                              | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\badge_shieldsio_linecoverage_yellowgreen.svg                                         | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\class.js                                                                             | JavaScript              |        173 |         13 |         35 |        221 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_cube.svg                                                                        | XML                     |          2 |          0 |          0 |          2 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_cube_dark.svg                                                                   | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_down-dir_active.svg                                                             | XML                     |          2 |          0 |          0 |          2 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_down-dir_active_dark.svg                                                        | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_fork.svg                                                                        | XML                     |          2 |          0 |          0 |          2 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_fork_dark.svg                                                                   | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_info-circled.svg                                                                | XML                     |          2 |          0 |          0 |          2 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_info-circled_dark.svg                                                           | XML                     |          2 |          0 |          0 |          2 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_minus.svg                                                                       | XML                     |          2 |          0 |          0 |          2 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_minus_dark.svg                                                                  | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_plus.svg                                                                        | XML                     |          2 |          0 |          0 |          2 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_plus_dark.svg                                                                   | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_search-minus.svg                                                                | XML                     |          2 |          0 |          0 |          2 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_search-minus_dark.svg                                                           | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_search-plus.svg                                                                 | XML                     |          2 |          0 |          0 |          2 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_search-plus_dark.svg                                                            | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_sponsor.svg                                                                     | XML                     |          2 |          0 |          0 |          2 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_star.svg                                                                        | XML                     |          2 |          0 |          0 |          2 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_star_dark.svg                                                                   | XML                     |          2 |          0 |          0 |          2 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_up-dir.svg                                                                      | XML                     |          2 |          0 |          0 |          2 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_up-dir_active.svg                                                               | XML                     |          2 |          0 |          0 |          2 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_wrench.svg                                                                      | XML                     |          2 |          0 |          0 |          2 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\icon_wrench_dark.svg                                                                 | XML                     |          1 |          0 |          0 |          1 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\index.htm                                                                            | HTML                    |        136 |          0 |          8 |        144 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\index.html                                                                           | HTML                    |        136 |          0 |          8 |        144 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\main.js                                                                              | JavaScript              |        267 |         13 |         45 |        325 |
| d:\CNG491ERG\EndlessRunnerGame\CodeCoverage\Report\report.css                                                                           | CSS                     |        504 |          0 |         64 |        568 |
| d:\CNG491ERG\EndlessRunnerGame\Packages\manifest.json                                                                                   | JSON                    |         46 |          0 |          1 |         47 |
| d:\CNG491ERG\EndlessRunnerGame\Packages\packages-lock.json                                                                              | JSON                    |        518 |          0 |          1 |        519 |
| d:\CNG491ERG\EndlessRunnerGame\README.md                                                                                                | Markdown                |          2 |          0 |          1 |          3 |
| d:\CNG491ERG\EndlessRunnerGame\TrainingResults\results\AutoInputHandler\Boss\Boss-1699830.pt                                            | XML                     |     13,711 |          0 |         57 |     13,768 |
| d:\CNG491ERG\EndlessRunnerGame\TrainingResults\results\AutoInputHandler\Boss\Boss-1799844.pt                                            | XML                     |     13,762 |          0 |         57 |     13,819 |
| d:\CNG491ERG\EndlessRunnerGame\TrainingResults\results\AutoInputHandler\Boss\Boss-1899981.pt                                            | XML                     |     13,856 |          0 |         56 |     13,912 |
| d:\CNG491ERG\EndlessRunnerGame\TrainingResults\results\AutoInputHandler\Boss\Boss-1999979.pt                                            | XML                     |     14,204 |          0 |         51 |     14,255 |
| d:\CNG491ERG\EndlessRunnerGame\TrainingResults\results\AutoInputHandler\Boss\Boss-2000149.pt                                            | XML                     |     14,204 |          0 |         51 |     14,255 |
| d:\CNG491ERG\EndlessRunnerGame\TrainingResults\results\AutoInputHandler\Boss\checkpoint.pt                                              | XML                     |     14,203 |          0 |         51 |     14,254 |
| d:\CNG491ERG\EndlessRunnerGame\TrainingResults\results\AutoInputHandler\configuration.yaml                                              | YAML                    |         78 |          0 |          1 |         79 |
| d:\CNG491ERG\EndlessRunnerGame\TrainingResults\results\AutoInputHandler\run_logs\timers.json                                            | JSON                    |        335 |          0 |          0 |        335 |
| d:\CNG491ERG\EndlessRunnerGame\TrainingResults\results\AutoInputHandler\run_logs\training_status.json                                   | JSON                    |         65 |          0 |          0 |         65 |
